id,title,description,content,status,tags,category,created_at,updated_at,user_id
0b4f2ad2-6528-4f1e-b93b-172010e3d530,夏日护肤攻略,夏天护肤的关键要点,标题：夏日护肤全攻略，清爽一夏\n夏天皮肤容易出油、晒黑、长痘，护肤一定要科学。本文分享适合夏季的护肤产品、防晒技巧和日常护理建议，让你清爽度夏，拥有水润好皮肤！,草稿,,美妆,2024-06-05 14:00:00+00,2024-06-05 14:00:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
0b5971e2-3c68-4aaa-a335-92a5194910a1,小红书旅游推荐,推荐大家去烟台旅游的小红书文章,标题：烟台——海滨的明珠，旅行的理想目的地\n大家好！今天想和大家分享一个我超级喜欢的旅行地——烟台。作为一个集山海美景、丰富美食和深厚文化于一体的城市，烟台绝对是你假期旅行的完美选择。\n首先，烟台的海景绝对让人流连忘返。无论是清晨的海边散步，还是傍晚的海风吹拂，烟台的海岸线都美得让人心醉。著名的蓬莱阁更是不可错过的景点，传说中的仙境就在这里，登上阁楼，远眺大海，仿佛能感受到仙气缭绕。\n其次，烟台的美食也是一大亮点。新鲜的海鲜让人垂涎欲滴，烟台苹果更是甜美多汁。无论是海鲜大咖还是地道的鲁菜，都能满足你的味蕾。\n此外，烟台的文化底蕴丰富，拥有众多历史遗迹和博物馆。你可以在这里感受到古老与现代的完美融合。\n总之，烟台不仅有美丽的自然风光，还有丰富的文化和美食体验，绝对值得一去。准备好你的行李，来烟台开启一段难忘的旅程吧！#烟台旅游 #海滨度假 #美食探店 #文化探秘 #旅行推荐,草稿,,旅游,2024-06-07 10:00:00+00,2024-06-07 10:00:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
36a5b837-56aa-4976-9ed8-292c645089c4,成都美食探店,成都地道美食推荐,标题：成都美食探店，吃货的天堂\n成都是一座让人来了就不想走的城市，尤其是对于吃货来说。火锅、串串、兔头、钵钵鸡……每一样都让人回味无穷。今天就带大家探访几家成都本地人推荐的美食店铺，体验最地道的川味人生！,已完成,,美食,2024-06-06 09:30:00+00,2024-06-06 09:30:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
3991dfa5-2e60-4b76-a07f-00952858558d,东京自由行攻略,东京旅游必打卡景点,标题：东京自由行，玩转潮流与传统\n东京是个融合了现代与传统的城市。本文推荐浅草寺、涩谷、秋叶原等必去景点，还有购物、美食和交通小贴士，助你畅游东京！,已完成,,旅游,2024-06-01 13:00:00+00,2024-06-01 13:00:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
40f581bb-8e6f-4794-a4dd-5329f4643869,读书笔记分享,近期读书心得体会,标题：读书笔记，遇见更广阔的世界\n最近读了几本好书，收获颇丰。本文分享我的读书笔记和思考，希望能给你带来启发，一起成长进步！,草稿,,成长,2024-05-31 19:00:00+00,2024-05-31 19:00:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
543a20d6-6996-44c3-a49a-4df811f990d8,iPhone 15 Pro深度评测,全面解析iPhone 15 Pro的设计、性能、摄影等特性，为用户提供购买决策建议,全面解析iPhone 15 Pro的设计、性能、摄影等特性，为用户提供购买决策建议,已完成,,科技,2024-06-06 00:00:00+00,2024-06-06 00:00:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
65086971-a2df-4944-a45f-a9b501dc9ebc,成都美食探店,探索成都地道美食，分享隐藏的美食店铺和特色菜品,探索成都地道美食，分享隐藏的美食店铺和特色菜品,已完成,,旅行,2024-06-03 00:00:00+00,2024-06-03 00:00:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
699748b8-952e-4edd-9234-ab53e0c3543a,上海周末游记,上海周末两日游推荐,标题：上海周末游，城市与艺术的完美结合\n如果你只有两天时间在上海，怎么玩最值？本文带你打卡外滩、田子坊、上海博物馆等必去地，还推荐几家超有氛围的咖啡馆和小众展览，快来体验魔都的独特魅力吧！,已完成,,旅游,2024-06-03 11:20:00+00,2024-06-03 11:20:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
705037ed-4aa2-4e21-9139-e6f01261de87,职场新人必备指南,新人入职必看实用建议,标题：职场新人必备指南，轻松融入新环境\n刚入职场的你是否有点紧张？别担心，本文为你整理了实用的工作技巧、人际关系处理方法和自我提升建议，助你顺利开启职场新生活！,进行中,,成长,2024-06-04 08:00:00+00,2024-06-04 08:00:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
8be82772-f1db-4fc8-8a44-600f5225640e,职场新人必备指南,为初入职场的新人提供实用建议，包括工作技巧、人际关系等,为初入职场的新人提供实用建议，包括工作技巧、人际关系等,进行中,,灯,2024-06-04 00:00:00+00,2024-06-04 00:00:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
b2b88837-789c-4088-8db6-9a1a4478ca2f,西安历史文化游,西安必去历史景点推荐,标题：西安历史文化游，穿越千年古都\n西安是中国历史文化名城，兵马俑、大雁塔、城墙等都是必打卡的景点。本文带你领略西安的厚重历史和美食文化。,已完成,,旅游,2024-05-30 10:30:00+00,2024-05-30 10:30:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
b7b1ad5b-7a93-4092-8ec7-21703dae5219,咖啡生活美学,咖啡控的日常分享,标题：咖啡生活美学，品味慢时光\n每天一杯咖啡，是生活的仪式感。本文分享我的咖啡日常、手冲技巧和推荐的咖啡馆，和你一起享受美好生活。,草稿,,生活,2024-05-29 08:30:00+00,2024-05-29 08:30:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
d19ef695-45f7-4acc-aefc-c716d5c2f50e,健身打卡日记,健身房新手入门分享,标题：健身打卡日记，遇见更好的自己\n健身不是一蹴而就的事，坚持才是王道。本文记录了我的健身心得、饮食建议和训练计划，适合健身新手参考，一起变健康！,草稿,,健康,2024-06-02 17:00:00+00,2024-06-02 17:00:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
f3c059cf-05cf-4997-b130-62b682f24c3a,夏日护肤攻略,分享夏季护肤的关键要点，推荐适合的护肤产品和防晒步骤,分享夏季护肤的关键要点，推荐适合的护肤产品和防晒步骤,草稿,,美妆,2024-06-05 00:00:00+00,2024-06-05 00:00:00+00,f53ad801-aeef-4d39-9dbc-4042717ee508
